Country,Total,Informal Request,Informal Request Complied (Partial),Informal Request Complied (All),Civil Subpoena,Civil Subpoena Complied (Partial),Civil Subpoena Complied (All),Criminal Subpoena,Criminal Subpoena Complied (Partial),Criminal Subpoena Complied (All),Government,Government Complied (Partial),Government Complied (All),Warrant,Warrant Complied (Partial),Warrant Complied (All),Court orders,Court orders complied (Partial),Court orders complied (All),duration
Brazil,2,1,,0,0,,0,0,,0,0,,0,,,,1,,0,juldec15
Italy,2,0,,0,0,,0,0,,0,2,,0,,,,0,,0,juldec15
United Kingdom,2,1,,0,0,,0,0,,0,1,,0,,,,0,,0,juldec15
Germany,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec15
India,1,0,,0,0,,0,1,,0,0,,0,,,,0,,0,juldec15
Philippines,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec15
Sweden,1,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,juldec15
Germany,3,2,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,janjun16
USA,3,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,janjun16
Australia,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,janjun16
Austria,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,janjun16
Brazil,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,janjun16
France,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,janjun16
India,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,janjun16
Italy,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,janjun16
United Kingdom,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,janjun16
United Kingdom,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,juldec16
USA,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,juldec16
Korea,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,juldec16
Australia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,juldec16
Croatia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,juldec16
France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,juldec16
India,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,juldec16
Unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,juldec16
USA,8,3,0,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,janjun17
United Kingdom,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,janjun17
Canada,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,janjun17
India,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,janjun17
Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,janjun17
Netherlands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,janjun17
Singapore,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,janjun17
Unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,janjun17
